,Total mean,KM3_1,KM3_2,KM3_3,KM4_1,KM4_2,KM4_3,KM4_4,KM5_1,KM5_2,KM5_3,KM5_4,KM5_5,KM6_1,KM6_2,KM6_3,KM6_4,KM6_5,KM6_6,KM7_1,KM7_2,KM7_3,KM7_4,KM7_5,KM7_6,KM7_7,KM8_1,KM8_2,KM8_3,KM8_4,KM8_5,KM8_6,KM8_7,KM8_8
Seg_size,8942.0,2385.0,3820.0,2737.0,1835.0,2211.0,2120.0,2776.0,1823.0,2250.0,2114.0,550.0,2205.0,1727.0,2146.0,600.0,2179.0,1805.0,485.0,1770.0,2115.0,565.0,2106.0,207.0,473.0,1706.0,167.0,1772.0,2123.0,548.0,1708.0,1594.0,470.0,560.0
Seg_Pct,1.0,0.26671885484231717,0.42719749496756876,0.3060836501901141,0.20521136211138447,0.24726012077834936,0.23708342652650413,0.310445090583762,0.2038693804518005,0.2516215611719973,0.23641243569671214,0.06150749273093268,0.24658912994855736,0.1931335271751286,0.23999105345560276,0.06709908297919928,0.24368150301945873,0.20185640796242452,0.05423842540818609,0.1979422947886379,0.2365242675016775,0.06318496980541266,0.2355177812569895,0.02314918362782375,0.052896443748602105,0.19078505927085662,0.01867591142921047,0.19816595839856854,0.23741892194140013,0.06128382912100201,0.1910087228807873,0.17825989711473944,0.05256094833370611,0.062625810780586
BALANCE,1538.2292371227875,2467.1913901432868,844.8502380612385,1696.4802570209129,1357.8875743317653,719.5723627015593,2258.4223771111892,1759.4712557796236,1343.5778621414092,1410.902618785886,2248.0368926327906,3312.963732039991,705.8922719964389,1184.0459376704016,1276.3452097974096,4498.103443003335,668.287363782996,1851.384199915628,3039.490662756695,1832.9482899681973,1239.4859752786006,4342.948632138058,614.462660823908,3830.6089316425105,2889.683125904856,1161.4501870678685,3970.371307413174,1832.0621470596552,1247.6799030905513,2093.509641978103,1165.3769861708336,162.29882944488722,2895.986160763823,4355.411188008933
BALANCE_FREQUENCY,0.8779928853724044,0.8941380951781963,0.819437381937172,0.945649333211544,0.8338716125340603,0.8214699330619623,0.886057874528302,0.9460177435158486,0.8331475008228201,0.9365862173333317,0.8860068363292338,0.983693763636363,0.821231508390022,0.8265036253618997,0.9348718066169596,0.9468393033333323,0.8197794001835698,0.8783947767313022,0.9845366103092779,0.876144236723164,0.9340031749408961,0.9442255221238931,0.8140072706552701,0.9892646376811594,0.9845286976744181,0.824486389800704,0.9894151197604789,0.8762840287810386,0.9342518676401297,0.9868801496350361,0.824691909250586,0.7581873318695105,0.9844299446808505,0.9445915321428564
PURCHASES,936.985554685754,88.44524109014668,560.6509319371698,2201.642809645595,698.1851716621242,496.37145183175096,18.44635849056604,2147.251974063399,667.2407569939658,1373.0439288888872,17.722923368022705,5363.372400000004,492.2789160997742,674.1374811812391,1391.065917986952,659.222866666667,492.7958696649849,0.0,5690.1567422680455,0.0,1385.3527139479902,636.7044247787612,482.5944017094026,1093.7129468599037,5706.498921775904,672.2447010550992,1092.0156886227549,0.0,1386.2598068770606,553.1269890510952,671.9302634660418,469.31528230865837,5734.444382978728,641.2156071428574
ONEOFF_PURCHASES,536.8609194811005,57.200341215932916,279.8598717277487,1313.526787796853,693.9107665395086,0.0,7.513358490566036,1264.8976100144039,665.6472909489851,790.7416905777765,7.1241816461684,3259.829103272733,0.0,672.4554379849449,799.59748080149,401.0329229999997,0.0,0.0,3469.5337175257782,0.0,798.5168368794313,401.08605982300855,0.0,315.9535632850242,3542.8893217759037,670.541952754982,366.79501556886237,0.0,797.9741921808748,0.0,670.229509016393,0.0,3559.3139770212815,406.47641749999974
INSTALLMENTS_PURCHASES,384.8436093715049,30.32687400419288,281.01961845549795,838.6726408476422,0.0,496.7541350067849,10.933,835.6520902377514,0.0,581.9780484444451,10.598741721854305,1859.8554872727304,492.7413551020418,0.0,591.1285363466925,254.1936483333333,493.23310142267195,0.0,1949.3579360824776,0.0,586.5238860520107,231.5643362831857,483.1614451566961,694.3895410628019,1921.063525369982,0.0,624.5990778443113,0.0,587.9747993405568,553.2869142335768,0.0,469.8579981179432,1930.5844936170247,230.6489642857142
CASH_ADVANCE,933.4547987038694,2388.9962663573997,305.9458105256544,540.9147674605781,761.6817803962952,292.6455354975122,2118.0463115810376,652.7266871203178,757.9324327949541,534.5821318180447,2107.4825976189213,1227.8265680814554,286.58021071337845,512.9587213346844,355.28988783550807,5734.46681982434,230.71302621064726,1378.9823793058179,548.7711924028865,1391.0356887418088,350.96879097399534,5849.417223579474,227.81243881244077,1055.8819509816421,542.4787695463002,517.3897413347011,1068.0499177077845,1390.310706819414,352.1040133127651,837.9129664543802,517.8335401522248,51.31836336198242,541.4353402093616,5852.730370913221
PURCHASES_FREQUENCY,0.4906581792663835,0.06332362935010485,0.5331369382198983,0.8037469780781874,0.31825678201634944,0.6953307571234731,0.020096566037735852,0.8009665778097979,0.3158528134942406,0.7644434928888885,0.018647054399243145,0.946281921818182,0.694690689795918,0.3187441105964093,0.7678161528424973,0.3457804650000002,0.6964645006883888,0.0001846720221606648,0.956418839175258,0.00018832372881355931,0.7665155706855789,0.34144292035398255,0.6950014183285848,0.5281629227053141,0.9602462367864696,0.3199514900351692,0.49435328742514983,0.0001881111738148984,0.7669636198775315,0.689839078467153,0.3198828858313809,0.697648859473023,0.9599924893617025,0.33691215357142884
ONEOFF_PURCHASES_FREQUENCY,0.20250774983225467,0.030337932075471717,0.1370166554973816,0.4439403386920009,0.31802971498637667,0.0,0.0046044669811320755,0.4385728753602329,0.3156242517827758,0.3789799982222252,0.00400688789025544,0.6804831472727277,0.0,0.31850284365952436,0.38127984156570627,0.16705853166666662,0.0,0.0,0.7057901628865985,0.0,0.38239452482269753,0.16696213451327427,0.0,0.08734687439613524,0.7277481945031719,0.3197072532239148,0.09565713772455087,0.0,0.38256292369288997,0.0,0.31963893501170876,0.0,0.7277834659574473,0.1690481071428571
PURCHASES_INSTALLMENTS_FREQUENCY,0.3647633870498764,0.03568952578616351,0.37548835130890035,0.6365470171720845,0.0,0.6590595124378106,0.015183863679245282,0.6384523897694507,0.0,0.594462702222221,0.014118905392620625,0.804809416363637,0.6583585405895689,0.0,0.5978447534948729,0.2386010833333335,0.6604731794401099,0.0001846720221606648,0.8166480927835055,0.00018832372881355931,0.5952098250591005,0.23477079115044258,0.6580563072174737,0.47468127053140097,0.8155200655391123,0.0,0.436348113772455,0.0001881111738148984,0.5961071342439931,0.6583394580291971,0.0,0.6590979397741517,0.8143425340425534,0.23011100535714293
CASH_ADVANCE_FREQUENCY,0.133391041713265,0.30646249140461396,0.05753841073298435,0.08844461965655853,0.11790344032697561,0.04487356173677071,0.2819963216981131,0.10064201548991394,0.11817671256171162,0.09559571822222233,0.2815062313150424,0.12594526909090922,0.0443909800453515,0.09499632947307475,0.07410215563839699,0.5332984950000006,0.03954320789352918,0.23809339999999946,0.06968757525773198,0.23964275762711812,0.07419609456264772,0.5381412495575231,0.039498982431149146,0.1392060289855072,0.06916520295983086,0.09550106799531073,0.13764890419161674,0.2396544475169295,0.07419127366933582,0.13338819525547466,0.09579286651053869,0.010361294228356332,0.0690747659574468,0.5391563982142867
CASH_ADVANCE_TRX,3.065309774099754,7.480503144654088,1.057068062827225,2.0208257215929852,2.5994550408719346,0.89280868385346,6.535377358490566,2.4535302593659942,2.6066922654964344,2.1742222222222223,6.514191106906338,3.747272727272727,0.8770975056689342,1.8471337579617835,1.450139794967381,17.115,0.7659476824231298,4.608310249307479,1.756701030927835,4.61864406779661,1.4529550827423168,17.369911504424778,0.7597340930674265,3.676328502415459,1.7420718816067653,1.8540445486518171,3.784431137724551,4.6190744920993225,1.4521902967498823,2.7025547445255476,1.8612412177985949,0.1562107904642409,1.7468085106382978,17.464285714285715
PURCHASES_TRX,14.163173786624894,1.3048218029350105,9.061256544502617,32.488527584946965,6.374931880108992,11.473541383989145,0.3471698113207547,32.00471902017286,6.196928140427866,22.037777777777777,0.3211920529801324,72.80199999999994,11.35827664399093,6.253039953676896,22.2618825722274,9.833333333333334,11.360256998623221,0.0016620498614958448,77.14865979381436,0.001694915254237288,22.161702127659574,9.564601769911505,11.212250712250713,16.720676328502417,77.46283298097245,6.245017584994138,16.743592814371258,0.001693002257336343,22.217145548751766,12.89051094890511,6.242388758782202,10.783563362609787,77.4381276595744,9.589285714285714
CREDIT_LIMIT,4472.09551904641,4489.568642399161,3592.7471177743455,5684.166214575448,4423.561390471389,3230.851824440524,4190.243710691981,5708.037798736672,4396.014893864509,5017.6724130191105,4178.2481866920525,8660.09090909091,3215.380219427664,4238.613289817603,4928.780488952935,7744.416666666667,3159.6665368692056,3553.9704524470912,8547.938144329897,3562.5235404898303,4925.443465386761,7683.8938053097345,3169.023449115859,4622.463768115942,8583.298097251585,4240.55401612837,4669.161676646707,3560.0827689994353,4927.278817377767,3072.080291970803,4240.857817046252,3244.8954729222082,8588.297872340425,7687.321428571428
